observedAt,dataGeneratedAt,dataAgeMinutes,siteName,address,apparentTemperature,temperature,humidity,windSpeed,level,previousLevel,levelChanged,notificationReason,teamsNotified,apiStatus,apiMessage,awsStation,awsStationName,awsObservedTime
2026-08-13 08:56:24,,,유니드 울산공장,울산광역시 남구 상개로 142,30.1,28.0,65.7,2.5,정상,정상,False,regular_08,True,OK,,898,장생포,202608130856
2026-08-13 09:23:07,,,유니드 울산공장,울산광역시 남구 상개로 142,30.0,28.0,65.0,2.6,정상,정상,False,none,False,OK,,898,장생포,202608130923
2026-08-13 09:34:44,,,유니드 울산공장,울산광역시 남구 상개로 142,29.5,27.6,66.3,2.8,정상,정상,False,none,False,OK,,898,장생포,202608130934
2026-08-13 09:49:59,,,유니드 울산공장,울산광역시 남구 상개로 142,29.7,27.8,65.3,2.4,정상,정상,False,none,False,OK,,898,장생포,202608130949
2026-08-13 10:07:25,,,유니드 울산공장,울산광역시 남구 상개로 142,31.6,29.1,62.2,3.8,주의,정상,True,level_change,True,OK,,954,온산,202608131007
2026-08-13 13:03:59,,,유니드 울산공장,울산광역시 남구 상개로 142,32.2,29.2,64.7,2.2,주의,주의,False,regular_13,True,OK,,898,장생포,202608131303
2026-08-13 13:54:50,,,유니드 울산공장,울산광역시 남구 상개로 142,31.6,28.6,68.6,2.2,주의,주의,False,none,False,OK,,898,장생포,202608131354
2026-08-13 14:24:09,,,유니드 울산공장,울산광역시 남구 상개로 142,31.3,28.3,70.2,2.8,주의,주의,False,none,False,OK,,898,장생포,202608131424
2026-08-13 14:35:35,,,유니드 울산공장,울산광역시 남구 상개로 142,31.5,28.5,69.1,3.0,주의,주의,False,none,False,OK,,898,장생포,202608131435
2026-08-13 14:43:59,,,유니드 울산공장,울산광역시 남구 상개로 142,31.5,28.5,68.8,2.8,주의,주의,False,none,False,OK,,898,장생포,202608131443
2026-08-13 14:52:09,,,유니드 울산공장,울산광역시 남구 상개로 142,31.2,28.3,69.8,3.1,주의,주의,False,none,False,OK,,898,장생포,202608131452
2026-08-13 15:00:40,,,유니드 울산공장,울산광역시 남구 상개로 142,30.9,28.1,70.0,3.2,정상,주의,True,level_change,True,OK,,898,장생포,202608131500
2026-08-13 15:16:52,,,유니드 울산공장,울산광역시 남구 상개로 142,31.2,28.4,68.4,2.7,주의,정상,True,level_change,True,OK,,898,장생포,202608131516
2026-08-13 16:01:00,,,유니드 울산공장,울산광역시 남구 상개로 142,31.4,28.6,67.2,2.9,주의,주의,False,none,False,OK,,898,장생포,202608131601
2026-08-13 16:19:46,,,유니드 울산공장,울산광역시 남구 상개로 142,30.9,28.5,64.7,3.2,정상,주의,True,level_change,True,OK,,898,장생포,202608131619
2026-08-13 16:24:08,,,유니드 울산공장,울산광역시 남구 상개로 142,31.3,28.6,66.3,2.9,주의,정상,True,level_change,True,OK,,898,장생포,202608131624
2026-08-13 16:29:24,,,유니드 울산공장,울산광역시 남구 상개로 142,31.3,28.6,66.6,2.5,주의,주의,False,none,False,OK,,898,장생포,202608131629
